https://www.instagram.com/p/DKsnYgoMsDM/,hashtags:,#aprobadoporelsoco,#SazónDelBueno,#comidayucateca
username,comment_id,text
adyilanda,18054530627450864,"Que rico, lo haré para botanear! Sigue compartiendo recetas!"
totomoreno6,17842000074517911,No creo saber de dnd es originario :v
valenmed08,18175147042330059,Es broma verdad?
foodielife.mid,18227473900288412,🤤🤤🤤
vanesa.barreto.1,17954197100826607,👏👏👏
jcperezstamria,18047259449626212,@andreaodo
agusmora,18077132359816820,"Jajaja me caes a toda madre bato , jajaaj viví un año en Progreso y otro en Mérida ( en Los Pinos ) la pasé genial jajaja hablas aporreado como dicen Uds jajaja"
abraham_jose2.0,17970530330909009,Socoooo crea tu canal de cocina
aldo_sanchez_45,18049563497608628,Los gordos siempren hacen esa combinación con las salchichas jaja
pavara88,18166059517351275,Ojalá puedas te pongan  a dieta…
ivan.navajas,17855984019443828,
