hashtags:,#merida,#mexico,#cdmx,#carros,#trafico
post_url,username,comment_id,comment_text
1950fcomiranda,18079180729526739,https://www.instagram.com/p/DAuWyJsJDs8/,Jajajaja se te va atorar en una enfrenada
bleakyfon,18420514660079950,https://www.instagram.com/p/DAuWyJsJDs8/,Ave. Yucatán es una locura ya no se puede
bepele27,18283382950232276,https://www.instagram.com/p/DAuWyJsJDs8/,"Están a años luz de tener el tránsito de CDMX tampoco exageren sus 20 min máximo, comparados con 2 horas en tránsito"
yosoyplata,18016256258552380,https://www.instagram.com/p/DAuWyJsJDs8/,Pobre Mérida Gentrificada
canalesramses_,18039490727319742,https://www.instagram.com/p/DAuWyJsJDs8/,"Fue porqué estaba lloviendo. Mejor ir a vuelta de rueda, a que haya choques cada 5 km mis yucas... con eso de que llueve y les dan ganas de darse en la madre!"
majosies,18064692316649251,https://www.instagram.com/p/DAuWyJsJDs8/,Horribleeeeeeeeeee🔥
lux.arzapalo,18041719880479168,https://www.instagram.com/p/DAuWyJsJDs8/,Ya no vengan 🙏🙏🙏
gabsb86,17997129617692360,https://www.instagram.com/p/DAuWyJsJDs8/,No manches 😮😮
alejandroxsp88,17866575618217867,https://www.instagram.com/p/DAuWyJsJDs8/,Creen que es mejor las caravanas o que opinan?. Creen que en El pasado se trepaban a un camion o que opinan?
maricocoms,18009896078418516,https://www.instagram.com/p/DAuWyJsJDs8/,Imposible
manuelfloress213,18092037634482483,https://www.instagram.com/p/DAuWyJsJDs8/,Yo pensé que era Los Ángeles ! Mare !
didier.herrera.may,18026784518138686,https://www.instagram.com/p/DAuWyJsJDs8/,Hay que cambiar esos limpiaparabrisas socotrocooo
