hashtags:,#story,#storytime
post_url,username,comment_id,comment_text
karlagil_,18092261497616405,https://www.instagram.com/p/DPDEkkHjF51/,Aaahhh parte dossssss 😮
gabyesp_crochet,18075916472022138,https://www.instagram.com/p/DPDEkkHjF51/,Parte 2!!!!!
rivero_rocio.rga,18078268868079333,https://www.instagram.com/p/DPDEkkHjF51/,La PARTE DOS PORFA 🙏🏻 🙌🏼
alidiaz9839,18015388862716791,https://www.instagram.com/p/DPDEkkHjF51/,😮😮😮😮 nomás me dejaron picada con el chisme Merciiii. Que miiiedo! ....
macaromeropeza,17863950945411819,https://www.instagram.com/p/DPDEkkHjF51/,"Qué  miedo 😨 ,gracias  por compartirlo"
c.v.o14,18021316694765100,https://www.instagram.com/p/DPDEkkHjF51/,Parte dos merciiiiii🥹
ednitafc,17902442700348266,https://www.instagram.com/p/DPDEkkHjF51/,Y luego????????
moy.esn2805,18060806813118384,https://www.instagram.com/p/DPDEkkHjF51/,Ay no que hueva esperar la parte dos la hacen mucho de emoción
luescobar__,17900675817296053,https://www.instagram.com/p/DPDEkkHjF51/,Parte 2😮
imeldaisabel,18043172123394621,https://www.instagram.com/p/DPDEkkHjF51/,"Que pongan parte 2, no seas así 😢"
surinita25,17897408931165944,https://www.instagram.com/p/DPDEkkHjF51/,Parte 2 por favor!!!
alidiaz9839,18143450572422946,https://www.instagram.com/p/DPDEkkHjF51/,Parte 2 !!!!
chicanitamx,18321663385215278,https://www.instagram.com/p/DPDEkkHjF51/,Te pasas Merci parte 2 🙌
steff_robelo,18072386027621442,https://www.instagram.com/p/DPDEkkHjF51/,Y se ve de fiar el chofer !
elsar0666,18089215402875841,https://www.instagram.com/p/DPDEkkHjF51/,Me quedé a la mitad del chismeeeee!!!
americaavilesarteaga,18076062908033263,https://www.instagram.com/p/DPDEkkHjF51/,😮😮😮 no se vale 😔 queremos parte dos 🙊🙊
edith.mijangos,18078949598061809,https://www.instagram.com/p/DPDEkkHjF51/,Queremos parte 2
dianaztrada,18098019802634181,https://www.instagram.com/p/DPDEkkHjF51/,"Merci echanos el chisme completooooo, no me dejes así"
isabel2239,17897420136162334,https://www.instagram.com/p/DPDEkkHjF51/,Parte 2
villamil.edua,17916572613054909,https://www.instagram.com/p/DPDEkkHjF51/,Suban la parte 2
olguis_canche,17999942687816126,https://www.instagram.com/p/DPDEkkHjF51/,Parte 2
mariel297216,18357196261083716,https://www.instagram.com/p/DPDEkkHjF51/,Y luego????? 🤔🤔🤔🤔
socorro.medina.3511,18081862012782433,https://www.instagram.com/p/DPDEkkHjF51/,Parte 2 x faa!
maryori_berbesi,18092124586789301,https://www.instagram.com/p/DPDEkkHjF51/,Yo la conozco 😬
abina.di94,18102060931541072,https://www.instagram.com/p/DPDEkkHjF51/,Entre chanmai y chanrai  casi se han llevan al CHAN NENÉ!! 😂😂😂😂 Jajjjajajajajana
my_name_is_j0el,18044266814657416,https://www.instagram.com/p/DPDEkkHjF51/,C eeeees  mal me dejaste picado wera
patriciarodriguez8158,18113402221544266,https://www.instagram.com/p/DPDEkkHjF51/,Merci parte dosssss
dionemorthy,17870329734441429,https://www.instagram.com/p/DPDEkkHjF51/,Beeeloooo
karina_fugon,18064279454598435,https://www.instagram.com/p/DPDEkkHjF51/,Porque estás gritando mujer. Estarás celosa de tu esposo?
dionemorthy,17954721875871908,https://www.instagram.com/p/DPDEkkHjF51/,Y la segunda partee
caroponcewitt,18263846098304792,https://www.instagram.com/p/DPDEkkHjF51/,Y luego que sigue jajaja
