https://www.instagram.com/p/CQPoYGAhwhX/,hashtags:,#aprende_maya,#lengua_maya
username,comment_id,text
jessymayc,17919911746705384,Gracias por ayudar a la preservación de la lengua!❤️
num1carlosarandia,17888571542154600,"Muchas felicidades, sigue adelante!"
maremore,17879438087464783,Felicidades 👏👏 que orgullo
jc_inland_belize_tours,17915521438805549,Muchas felicidades y bendiciones
yahaira_chucc,17894208107067813,"Muchas felicidades, te sigo casi desde que iniciaste a hacer videos en tiktok y que padre que a través de estos reportes pongas en alto el nombre de nuestro Yucatán, que orgullo y gracias por compartir tus conocimientos con los demás🥳🤍"
nicolas.solhe,17858063951570808,"!Muchas felicidades, 🎊🎉✨ !"
froylansosa,17962072330430652,Que sigan los éxitos!
vikavalosphotographer,17914571653823370,Mare ¡
nichimarte,17884054490248000,Muchas felicidades 👏👏
santos_tuz,18168403540134049,@nichimarte muchas gracias🥳👏🏽
rogermexlopez,17919357199692672,❤️👏
santos_tuz,18169795312134017,@rogermexlopez Saludos don Roger 🥳
rogermexlopez,17880970319477332,@santos_tuz saludos cordiales desde Mérida amigo. A ver cuando te voy a visitar a Oxkutzcab.
turisteandocongerman,17894661779143982,@santos_tuz ¡Muchas felicidades mi estimado! Muy merecido👏
santos_tuz,17877448595409200,@turisteandocongerman muchísimas gracias amigo!!👏🏽🥳
