https://www.instagram.com/p/CSNJq-4gAP6/,hashtags:,#lengua_maya,#humor,#messi
username,comment_id,text
auroraparragonzalez,17895414266277695,👏
num1carlosarandia,17960790082433858,😂😂😂
num1carlosarandia,17916488230787516,Si no le alcanza para el arbitraje nos cooperamos
renatavzqq,18089074024276614,@santos_tuz cuando puedas mira los mensajes privados que te he enviado uno!
clauxyraro,17959412890458122,"Jajaja muy bien, seguro le alcanza para el arbitraje. Saludos desde Guadalajara. Felicitame en Maya por fa hoy es mi cumpleaños. 🥳"
anihappy16,18074618236303194,Jaja 😂  va en viaje!! 👏
santos_tuz,18241299871026467,@anihappy16 JAJAJ si
renatavzqq,17907826810937822,"😂😂😂😂 como vaya para allá verás, primeros de la liga 😂"
santos_tuz,17983460419390668,@renatitak JAJAJAJ campeonato seguro😂😂
josefburgos30,18179888353126584,Jaja rifado 😂🙌
santos_tuz,17911877467939167,@josefburgos30 JAJAJ que si viene dice😹
josefburgos30,17982907933385124,@santos_tuz  ya lo visualicé jugando en el cendy y los tellos albitreando jaja💯
