https://www.instagram.com/p/DRDoRpQjWAz/,hashtags:,#fyp,#entrevista,#yucatan
username,comment_id,text
_satoru_kevin,18076164062239457,"1,500 de renta???"
elesquivel.c,18075802667337541,Que diga en donde 😂😂😂 paga eso de renta
danielamagic,17879115198428398,"@_satoru_kevin en los pueblos yucatecos, en Mérida no…"
lalo.rj,18100872826688822,1500 de renta?!! Donde?!
fer_era123,18025410221771662,El mushasho de negroooo 😍😍
rock_leche,18084145742100574,700 s la semana 😢
j0sem.a8811,18099651820783658,Si hay trabajo pero que quieren que les den si aún no han acabo alguna carrera o algo
maria_cetina_,18070343864368719,Pregúntenle a ese que dijo que en promedio 15 para ir 😂
roxanatavares_,18089551243927598,700 pesos gana a la semana 😢😢
updatinglive,18303084331281097,"Nel en Mérida los salarios son muy miserables, lo digo por experiencia , vivi de vecino y hasta la fecha no les mejoran los sueldos"
gilbertoo.villa.94,18144236263456506,1500 de rentaa?? No ma yo pago 5mil 😮😮
