hashtags:,#merida,#yucatan,#fyp,#comedia,#humor
post_url,username,comment_id,comment_text
joesantanab,18078018538704308,https://www.instagram.com/p/DJAnBdWssC3/,Ponte a trabajar julio 😂
juliolealortiz,18061893319888179,https://www.instagram.com/p/DJAnBdWssC3/,@joesantanab 😂😂😂
eldanniedarko,18062182084871740,https://www.instagram.com/p/DJAnBdWssC3/,@joesantanab JAJAJAJA
seriprinters,17919948084082670,https://www.instagram.com/p/DJAnBdWssC3/,Ponte a trabajar julio jajajaja se mamó🤣
juliolealortiz,18043491524178471,https://www.instagram.com/p/DJAnBdWssC3/,@seriprinters 😂😂😂
leoyosef76,17931090896922023,https://www.instagram.com/p/DJAnBdWssC3/,Te consideras influencer?
eldanniedarko,17890357074127173,https://www.instagram.com/p/DJAnBdWssC3/,Ponte a trabajar julio jajajaja
juliolealortiz,18068657530761553,https://www.instagram.com/p/DJAnBdWssC3/,@eldanniedarko 😂😂😂😂
san_antonio_59,18055817384271965,https://www.instagram.com/p/DJAnBdWssC3/,😂😂😂😂😂😂😂😂
juliolealortiz,18404373400103189,https://www.instagram.com/p/DJAnBdWssC3/,@san_antonio_59 😂😂
marianomedinaquijano,18049357202081536,https://www.instagram.com/p/DJAnBdWssC3/,interesante carnal
lechuga2k23,17967758783857773,https://www.instagram.com/p/DJAnBdWssC3/,"Dios cuando será el día que te encuentre en el centro de Mérida, cuando dios mío cuando?😢"
im.abner,18044567039433307,https://www.instagram.com/p/DJAnBdWssC3/,"El último señor ya ganó, mientras no le hagan daño a alguien! 😆"
juliolealortiz,18028435298432751,https://www.instagram.com/p/DJAnBdWssC3/,@im.abner confirmo!
lesliee_r1,17974714700711152,https://www.instagram.com/p/DJAnBdWssC3/,Ponte a trabajar julioo ! 😂😂😂
juliolealortiz,18046104347142005,https://www.instagram.com/p/DJAnBdWssC3/,@lesliee_r1 😂😂
bto_wi,18274449382257209,https://www.instagram.com/p/DJAnBdWssC3/,Jaja. Nuevo seguidor.
juliolealortiz,18068889985928442,https://www.instagram.com/p/DJAnBdWssC3/,@bto_wi 😎🤘🏽
martssolis,18049064234081607,https://www.instagram.com/p/DJAnBdWssC3/,no dire que restaurante de tacos le pago a un monton de influencer llegabas y ni frances tenian para las tortas 😂😂😂
juliolealortiz,18223502194290394,https://www.instagram.com/p/DJAnBdWssC3/,@martssolis 😱😱
manujunox,18079506418856661,https://www.instagram.com/p/DJAnBdWssC3/,El julio quedó muy funado 😂😂😂😒😒😒
alexis_sadness,18046663700595452,https://www.instagram.com/p/DJAnBdWssC3/,"""NUEVO BUFFET EN MÉRIDA"" 😂😂😂"
angelchino00,18048565265588007,https://www.instagram.com/p/DJAnBdWssC3/,Ponte a trabajar julio :v jajajajaja
gibramnic,18141381451396780,https://www.instagram.com/p/DJAnBdWssC3/,Jajajaj c mamo el don ponte a trabajar julio 😂
cel4100,18048459980610777,https://www.instagram.com/p/DJAnBdWssC3/,Ponte a trabajar julio
leovazquezarcos2005,18352304047158264,https://www.instagram.com/p/DJAnBdWssC3/,Quisiera verte en persona aquí en Mérida para ablar en personal amigo me caiste muy bien sobre tu video ayudamen para k vea mi comentario por favor
aaronsabidollanes,17942162348867486,https://www.instagram.com/p/DJAnBdWssC3/,Influencers?... Solo son figuras públicas 🙄
juliolealortiz,18060454484474218,https://www.instagram.com/p/DJAnBdWssC3/,"@aaronsabidollanes Creadores de Contenido, Influencers, Figuras Públicas 😱"
soloyucateco,17867499096365220,https://www.instagram.com/p/DJAnBdWssC3/,Que pasó bandita te rostizaron
juliolealortiz,18305932825211566,https://www.instagram.com/p/DJAnBdWssC3/,@soloyucateco jajaja a veces toca aguantar bara! Abrazote
sinuheyam,18091066999582735,https://www.instagram.com/p/DJAnBdWssC3/,Puro pe dejo
