https://www.instagram.com/p/DBFTDR5pc5y/,hashtags:,#fyp,#merida,#yucatan
username,comment_id,text
mari.naranjo.1848,18189830161305320,Cuando visitas kimbila AKI en el restaurante salan kimbila está entrando a kimbila
karoalcocer,17906250333048322,¿Cuándo Colombia en Querétaro?😢😍
adrianacanche87,18020656325612923,"Muuuuy rica la comida!!! Me encantó todo lo que probé, definitivamente tengo que regresar"
alondrita_torres13,17990103035573241,Es una delicia comer ahí .. 🔥
soyymarychuyy,17867122974229903,Alguien sabrá dónde es???
normyslescieur,18462246454040291,Dirección
paulmponce,18107038690435505,Qué bonito y que rico ve todo!! En hora buena a más lugares extranjeros en México 🙏🏻🙌🏻💪🏻👏🏻👏🏻 diversidad de culturas 🫶🏻
stefysanchezz,18039491648168508,"@evee0927 , @elena.medina.33 @mariel.sanchezm @ramirezelvis92  aquí les digo q quiero ir 😍"
jancansino,18328304716158110,@sritacaramelomid
ileanasabido,18122771872388664,@alonzomonforte bandeja paisa quierooo🙌🙌🙌
karina.ksbm,18023132801216719,Amor @josueleandromedina
dreamtravel_by_portia,18039300815149223,Looks delicious
v_pypm,17866170654164237,chanceeee
camelin.p,18142157899351161,Hay lulo??? 😍
parceros_cafe,18023271893240882,@camelin.p sí ☺️
faescobedo,18225608062304070,@gabyflores7272 Vamos a probar el sabor de #Colombia...
gabrielle.tut,18054663787877481,@dhamar_adrian
veronica__ohoran,18023821244203584,❤️
veronica__ohoran,18289711492226380,@regidemaler
regidemaler,18049615894939906,@veronica__ohoran está rica la comida y el lugar es muy bonito
herediacrak,18043517483033101,@karlaarcee  hay que ir
almagonzalez.crz,18046622266834686,@lizettelc  chavaaaa❤️
julitilli,17992876733548429,"Julio que interesante lo que haces! me quise comunicar contigo pero no pude, me envias un mensaje porfa? 🤝"
san_antonio_59,18059655376749069,Se mira delicioso 😋
juliolealortiz,17985528605672306,@san_antonio_59 está buenísimo!
lizheredia_fotografia,18065365666647757,@rissely_dh @lquintall 😊
lilisfierros,18287954563231177,@pepepatron @miguel.ruizf28 @dicarolinah @julian__217
hey_vos_soy_yo_,17923103666871862,El limón viene directo de colombia 🙄👀😂😂saludos carnal!!
juliolealortiz,18041879273123186,@remord4 😂😂😂 saludotes!
jaazhojas,17944709102888332,@erickrodriguezanduiza
mariallesaiint,18054419194879592,Caldito de costilla 🍖 ❤️🔥 para la resaca
paolitaqueen,18012944477362473,@brendaelenazuniga quiero bandeja paisa
garzon_008,17964614012802678,TODOOOOO ES DELICIOSO!!!! 😍😍❤️❤️❤️
juliolealortiz,17912845091979039,@garzon_008 INCREÍBLE!
diego.alemi,17990857166710877,Ahevoooo que si. 👏🏻 🙌🙌🙌
juliolealortiz,17945216468886384,@diego.alemi 🔥🔥🔥
abg82,18042716114035059,@escamilla141 bandeja paisa o que ??
pattycolonia,18045336779055281,@kim.vite
uri113,18019696331531420,@militv  bandeja paisa o que ? 😜
militv,18052120612911356,@nancy_valeriot @uri113  Bandeja paisa o que ?
militv,17942180090873647,@aremisj  @maritzalof  bandeja paisa o que ?
militv,17850941598302892,@ivonportugal  @rafaelrgarciap  bandeja paisa o que ?
brayantv7,18017318570547437,Tienen LECHONA PUES
parceros_cafe,18010975010412360,@brayantv7 sí pero la hacemos por encargo o fines de semana especiales. Normalmente avisamos cuando la hacemos ☺️🇨🇴
