hashtags:,#NescafeDolca,#yucatan,#merida,#humor,#fyp
post_url,username,comment_id,comment_text
san_antonio_59,18081975074157444,https://www.instagram.com/p/DSlbpInjX_4/,Da mucha energía
julimw,18094935400922285,https://www.instagram.com/p/DSlbpInjX_4/,Amo que todos inician con el respectivo “maaaa” 🙂‍↕️🙂‍↕️
hectore1_fotografia,18035861846529526,https://www.instagram.com/p/DSlbpInjX_4/,Un buen café con globitos
juliolealortiz,17854418688547944,https://www.instagram.com/p/DSlbpInjX_4/,@hectore1_fotografia MÍNIMO!
manuel_alex_gongora,18551021338008470,https://www.instagram.com/p/DSlbpInjX_4/,agarrar energía para la mañana
juan.urruti,17869763412503190,https://www.instagram.com/p/DSlbpInjX_4/,"El nescafé es un engaño, que además empobrece a sus agricultores mal pagando"
najerabodyshop,18065163161626030,https://www.instagram.com/p/DSlbpInjX_4/,Soy de guatemala perp me gustan los panuchos
gi0.alv,18126093211518437,https://www.instagram.com/p/DSlbpInjX_4/,Jajaja todos dicen Maaaaa
puro_cadillac,18440606116103720,https://www.instagram.com/p/DSlbpInjX_4/,se ríe en yucateco
michel_herada,18002410664692068,https://www.instagram.com/p/DSlbpInjX_4/,¿Por qué siempre tienes las piernas abiertas y flexionadas? 🙊
joseluisalvglez,17870074419487349,https://www.instagram.com/p/DSlbpInjX_4/,Norma 👿
juliolealortiz,18178176349365579,https://www.instagram.com/p/DSlbpInjX_4/,@joseluisalvglez 😱
geradocruzador,18049100408446150,https://www.instagram.com/p/DSlbpInjX_4/,No les hagas comerciales a los de nestle esos ojetes maltratan y mal pagan a sus cafetaleros
adrian_a.c.m,17991440189861843,https://www.instagram.com/p/DSlbpInjX_4/,Lo como con globitos
juliolealortiz,18038179052516073,https://www.instagram.com/p/DSlbpInjX_4/,@adrian_a.c.m que rico!
axel_olmedxx,17887155555283536,https://www.instagram.com/p/DSlbpInjX_4/,@adrian_a.c.m ma la neta we
adrian.couoh,18502589026078689,https://www.instagram.com/p/DSlbpInjX_4/,@saul_pc05 te econtré mi amigo😂
saul_pc05,17863523955557919,https://www.instagram.com/p/DSlbpInjX_4/,@adrian.couoh JAJAJAJA atrapado
