https://www.instagram.com/p/C2Q2FVDrDdm/,hashtags:,#meridavucatan,#yucatan,#videoviral,#trending,#fyp,#merida
username,comment_id,text
maria__mazariegos,18047806945684077,Conozco a alguien que tiene demasiados años le da de comer a cientos de palomas todos los días tenga o no dinero el si sería el rey de las palomas ❤️
mariely.ake.5,18004512491371763,Un acto muy hermoso 🥰
engelmay95,17935454039798577,❤️
weyanone_20,17898402464878763,Siempre está el señor aya? O tendrá algún horario? Digo para llevarle algo de comer
luisartury_,18024172699817356,yo tengo visto a ese don :0
luisartury_,17911309997813874,"esta por el centro en Mérida, Yucatán XD"
anahi_hernandez91,17865168273068150,❤️
princesamanecer_,18006193940101811,🙌
stephrealstate,17986531553396955,Y por qué vive en la calle 😢 como podemos ayudarlo ?
crispelas,18007374245072719,A Los peruanos se les está haciendo el agua la boca
dey_cob7,18375520708074535,👏👏
amesniun,18029416285718438,Gracias por el contenido 😍❤️
majobastos,18012285452125247,😍
warmiurbana,17997615167241179,Que bellos❤️ los dos!
army.bere,18311687158131454,Hermoso el vídeo 😍💗
juliolealortiz,18054671611529326,@army.bere 🙌
odon_ml,18058811320464157,No sé ofrenda de lo que te sobra ❤️
juliolealortiz,17899044566941782,@odon_ml 🙏🏽
ate.de.fresa,17857003722072404,A mí me encanta ver las palomas del centro y también identifico a la del penacho!!!!!! 😍😍
fullofmango,18153743215307258,La misma vibra que El hombre de las palomas de Hey Arnold
angelussangyy,17893601234960445,"@juliolealortiz y el video tiene un mensaje de fondo?, para mi si lo tiene, pero que no se dieron cuenta y se andan peleando en los comentarios jejejej. El mensaje, en tanto afan podrás ser Feliz? Quizá si quizá no, pero recuerda, cuando deje de existir en esta tierra no llevaras nada en vienes materiales, solo llevaras acciones como  las que hace este señor, el es feliz así, y esta bien. Julio nosotros nos conocimos haciendo algo por unos niños,  solo eso llevaremos. Así que deja un momento tanto afan y hace algo que te haga sentir 😊 saludos julio 🇧🇴🇲🇽"
angelussangyy,18079297888432218,"@juliolealortiz y el video tiene un mensaje de fondo?, para mi si lo tiene, pero que no se dieron cuenta y se andan peleando en los comentarios jejejej. El mensaje, en tanto afan podrás ser Feliz? Quizá si quizá no, pero recuerda, cuando deje de existir en esta tierra no llevaras nada en vienes materiales, solo llevaras acciones como  las que hace este señor, el es feliz así, y esta bien. Julio nosotros nos conocimos haciendo algo por unos niños,  solo eso llevaremos. Así que deja un momento tanto afan y hace algo que te haga sentir 😊 saludos julio 🇧🇴🇲🇽"
thebossllerina,18011653499489561,😍😍😍😍😍
nata_natita_ufc,17842711296154773,"Aveces la gente de la calle es mejor ahi dejarla… yo lo recoji en la calle y salió serpiente. Era igualito que este señor y me enamore, y ahora resulta… pero no digo que este señor, solo digo que aveces nos sentimos mal x personas cuando realmente están bendecidas donde están ya, no tienen que moverse."
yacirismateoramirez,18281449900089752,😢
chikiluamapola,18077719042440821,👏👏👏
margotseol,18016993088101203,Este señor es todo lo que está bien en la vida!!! ♥️✨️
cmgis3lle,17999915450170818,😢😢😢😢
mariamerod,17997169646238979,Cuando se acercan todas 🔥❤️
gabyzauria25,18021074002959619,Que bonito ❤️🔥❤️🙌
juliolealortiz,17887318025920803,@carny_bb 🙏🏽
julio_ruvalcaba.cafe,18021154609988245,👏👏👏👏🙌
juliolealortiz,18075356917446156,@julio_ruvalcaba.cafe abrazo 🙌
mildredberron,18006681110065569,Esto debe ser viral ❤️❤️❤️
juliolealortiz,17940295292783343,@millyberron ¡Ojalá así sea! 👏🏽
lupishau,18017155064060323,👏👏👏👏👏👏
juliolealortiz,18048305986582944,@lupishau ¡Saludos!
karinambrocio,18025032802767185,Muy bonito y todo pero las paloma son plaga 🥲. Y antes de que alguien me ataque solo aves introducidas que se han reproducido sin control desplazando aves de importancia ecológica y endémicas. Además de que su popos contiene parásitos (con eso de que hacen en todas partes) y su acidez daña monumentos etc.
geoorgina_correa,17879810022001856,"@ka.ambrocio la peor plaga es la del ser humano k tmb se reproduce sin control y sin consciencia (x eso tanto niño abandonado, madres solteras, progenitores sin responsabilidad ni obligación eyc.) y k además keriendo atribuir el derecho de expresarse o defender sus derechos, tmb hacen marchas k no con caca pero si con pintura y frases sin lógica ni sentido no solo dañan monumentos Nacionales si no los, destruyen."
goreth_dih,18038908963725424,@porfisbdlr el mejor comentario 🙌
karinambrocio,18038515555655028,@porfisbdlr yaa
lupitastorga,18115885684354132,"@ka.ambrocio Alv los monumentos, las palomas como otras aves, tienen la función en el ecosistema de dispersar semillas y eso ayuda un chingo."
stephrealstate,18016965185099452,@ka.ambrocio estás mal de tu mente mujer la peor plaga es el ser humano y sus malos sentimientos
karinambrocio,18007929041059163,"@stephrealstate eres bióloga, veterinaria o a qué te dedicas amiga?"
maria.anndrea,17891750579968385,Que hermoso video!!!!!!❤️❤️❤️❤️❤️❤️
juliolealortiz,18016829783027270,@maria.anndrea gracias 🙌🙌
_laviruca,17994158708287764,"Que lindo contenido ❤️

Me encanta !!"
juliolealortiz,18108194740363028,@_laviruca muchas gracias 🙏🏽
