hashtags:,#YucatánMásMejor
post_url,username,comment_id,comment_text
kubiinflu,17995038020394136,https://www.instagram.com/p/C6P0K0iL3gj/,Cientos de yucatecos apoyando 🔥 es el cambio que necesitamos
mitsuoteyer,18136144408326251,https://www.instagram.com/p/C6P0K0iL3gj/,Mucho candidatooooo
dieegochavez_,18019822451275558,https://www.instagram.com/p/C6P0K0iL3gj/,Pareces más político que todos los políticos reales
bethardz,17905124084878772,https://www.instagram.com/p/C6P0K0iL3gj/,@dieegochavez_ y yo si votaría jajaja
felipunk0,18022604969285202,https://www.instagram.com/p/C6P0K0iL3gj/,No pienso ser parte del sistema fuera políticos arriba la anarquia
felipunk0,18001392668529581,https://www.instagram.com/p/C6P0K0iL3gj/,Voto por voto casilla por casilla
pristina.bogo,18016040528062132,https://www.instagram.com/p/C6P0K0iL3gj/,#FuimosTodus
ninamongeote,18046196059709387,https://www.instagram.com/p/C6P0K0iL3gj/,Te amamooos!! #PorUnYucatánMásMejor 🔥❤️
piercethe_ceci,18040409047828874,https://www.instagram.com/p/C6P0K0iL3gj/,@eljuanamaro haz una en Kanasin!! #PorUnKanasinMasMejor 🔥
pawwcampos,17993952905618204,https://www.instagram.com/p/C6P0K0iL3gj/,"Candidato una disculpa por no haber asistido al magno evento, le prometo que al próximo no falto. Gracius"
reich_mendicuti,18135873262326076,https://www.instagram.com/p/C6P0K0iL3gj/,Tiene nuestro voto @amendicuti
abdielivangg,17955574118771375,https://www.instagram.com/p/C6P0K0iL3gj/,¿Hubo torta al final? 😂
germansantoz,17898931736987442,https://www.instagram.com/p/C6P0K0iL3gj/,Mi gallo 👍🏽
caleb_castro00,17914563500925353,https://www.instagram.com/p/C6P0K0iL3gj/,vila esta horrible a tu lado bb😍
caleb_castro00,18032477938929018,https://www.instagram.com/p/C6P0K0iL3gj/,"los demás candidatos no sirven para un caraj*, yo voy a votar por ti, solo por eso voy a votar👍🏿"
jorgensolis,18426795844060732,https://www.instagram.com/p/C6P0K0iL3gj/,Candidato no me ha llegado mi despensa
marianitorocha,17862247170113912,https://www.instagram.com/p/C6P0K0iL3gj/,Miles de yucatecos en la marcha 🙌
luisguillermoal,18064152313480940,https://www.instagram.com/p/C6P0K0iL3gj/,👏👏👏👏👏👏👏
ensyamaro,18063749506536708,https://www.instagram.com/p/C6P0K0iL3gj/,el candidato que yucatan necesita
danimp_,18033933439765600,https://www.instagram.com/p/C6P0K0iL3gj/,Por un Yucatán Más mejor 👏🏻
eljuanamaro,17846196168207306,https://www.instagram.com/p/C6P0K0iL3gj/,@danimp_ asi es 💪🏻
