hashtags:,#YucatánMásMejor
post_url,username,comment_id,comment_text
rosa.montalvo6,17967217493715977,https://www.instagram.com/p/C7NdcBdJoBv/,😂😂😂
berrinais,18100159828408865,https://www.instagram.com/p/C7NdcBdJoBv/,Quedó padrísimo @esewey 🙌👏👏
iamreneegora,17884500525048383,https://www.instagram.com/p/C7NdcBdJoBv/,La canción jajajaja tenía en la mente la de maynez y ahora tendré esta 😂
auroraaumi,17957255171684594,https://www.instagram.com/p/C7NdcBdJoBv/,Y los stickers de WhatsApp para un Yucatán más mejor? Más que lema de campaña debería ser un slogan de nuestra vida.
ensyamaro,17953379009729273,https://www.instagram.com/p/C7NdcBdJoBv/,increíble el final
eljuanamaro,18121288240364322,https://www.instagram.com/p/C7NdcBdJoBv/,@ensyamaro me esguincé la espalda baja Peroo valió la pena
charlytosis,18322735516121835,https://www.instagram.com/p/C7NdcBdJoBv/,HAHAHAHAHHAHAHAHAHAHAHAHAHA
neydi.gutierrez.7399,18039665389848025,https://www.instagram.com/p/C7NdcBdJoBv/,Siii yo quieto más campañas
kiddroyoficial,18091198267426850,https://www.instagram.com/p/C7NdcBdJoBv/,"Primero Yucatán, Luego el mundo 🔥🙌"
castilloerick24,18027903026030560,https://www.instagram.com/p/C7NdcBdJoBv/,Queremos más tiempo de tu campaña
eljuanamaro,18228396010286234,https://www.instagram.com/p/C7NdcBdJoBv/,"@castillo_erick_24 todo lo bueno tiene que terminar, pero solo es un ciclo porque ahora GOBERNAREMOS YUCATÁN 💪🏻🔥"
