https://www.instagram.com/p/Cyv3oxoLGH9/,hashtags:,#sketch,#comedia
username,comment_id,text
kaymenac,17880200531961198,Ajajajajajap#
betorg_96,17998218278058572,"JAJAJAJA Justo iba a decir el ""Paul"" dance :v jaja"
balandranoraul_locutor,18265655797165043,Otro palo? Jajaja
ansitox,18016748572847894,Y este palo?
felipunk0,17867885735965798,@ansitox es el de la cortina
soypedro.99,18064680466444222,Jejejeje xD
diegopisteg,18001399106149758,JAJAJAJAJAJAJAJA NO MMS
_pedro_alarcon,18007329956060215,@diegopisteg tu canción amigo
lulutrejo__,18029600812719331,JAJAJAJAJJAJAJAJAJAJ BASTAAAAAA
felipunk0,18007043624018215,@lulutrejo__ ❤️😂
frikilara,17980709531335517,Me lleva la ñññññonga no voy a poder verlos xq también estreno obra:'( que se repita!
_pedro_alarcon,17904812531853429,🤣🤣🤣🤣
chuchozozaya,18016437223894428,Jajajajaja váyanse a la vg!
abdielivangg,17882514884955669,Jajajaja ¿De dónde sacan tantaaaaaas mmmmtaaalentosss? 😂
felipunk0,18208628818257460,@abdielivangg jeje ni nosotros sabemos
