https://www.instagram.com/p/C-rGDMFMFIi/,hashtags:,#yucatán,#yucatánmásmejor
username,comment_id,text
cabrera_diaz_diana,18040780741840811,Mi candidato JuanAmaro bebe 😂
rafetorr,17994027494674105,Repite candidato chichi - milaaaa
jessi__994,17897278935042423,Yo voté por ti 👍🏿
israads,17981627327709748,Si hacen de nuevo las votaciones nos vuelve a tocar despensa o con la anterior ya no nos cuenta?
elrulosorio,18078394819518754,Payaso!!!
elrulosorio,18345380347142954,"@elrulosorio Es Chichimilá, pues no que muuuuuy Yucateco??? Y no sabes decir el nombre de uno de los 106 municipios correctamente."
memo_patron,17919753734958543,Yo contigo👏
mrobles94_,18456913030050186,Te ves bien
jorgealbertoalonzo,18039628988049501,"Oiga Gober! Ven acá! Como va va a ser? El 6 de Junio estuvo pagando 1,500 pesos por INE y ahorita en esta segunda vuelta, de a como lo va a dar? Mínimo, dispare el Six 🤷🏻‍♂️"
jorgecarlosalonzo,17845186080279587,"Todos votamos x usted Gober, hasta mi chichí me dijo que usted fue el que más pagó por su voto 🗳️ así que es real que le robaron, esto no puede ser!"
naslopez28,17904609149935449,Lo amo candidato 👏🏻❤️
rodriarandanoo,18237466339263000,El municipio de Chichila
soypedro.99,17918516798865282,🙌🙌🙌
