https://www.instagram.com/p/BsEw2EtFi-_/,hashtags:,#bestnine2018,#FelizAñoNuevo,#TilaMariaSesto
username,comment_id,text
paco_2503,17880977701781883,😄👍🏼
colinagarza,17900832136381884,Gracias a dios que la niña está igual q la mamá jajajaja
nat_garcia_182,17987847274158293,✊😂
jesus_lima04,18019501639014790,✊
danielhuarachero,18002592028111636,🤭✊ directo del video de youtube
patricia_v.c,17939472163245102,Saludos desde Perú..
mariana_tempest,17987931259148316,✊
mi_cocina_y_mas_vlogs,18016941967029587,Mi amad@ tila  te deseo mas exitos !!!
barbara_gordon_4,17954968264209288,Este año será mejor tila Mare haber si en tus vídeos me mandas un saludo
canvasmerida,17854571017314326,Feliz año!
princhefsita,17854862878310670,@tilasesto cuándo te presentas en Cancún o Playa del Carmen??
karelimartin,17854437112315595,Feliz año tila y sigue haciéndonos reír cada dia
ediericardoramir,18017516218046217,Feliz año nuevo que se te duplique todos tus éxitos este 2019 Tila la más chingona le duela al que le duela un coyaso purusona
margarethmorenotzuc,18008459392073470,Feliz y exitoso inicio dd año amiga Tila!!!
arihtsu,17886268936293646,Feliz año .... te espero con ansias una presentación en CDMX 🍺
spe_62,17953884265215987,"Muchísimas felicidades por el año que termina y feliz año que empieza que tengas mucho Trabajo , Salu, y Amor 🎊😆😄❄️😃🙅🎉😉🍾🥂🎈"
irenesalasr,17975461201197100,Que este año nos sigas haciendo reír! Abrazote y los mejor para ti y tu familia!
bracamonte_lindac,17986856161150376,"Feliz año nuevo ,muchos éxitos para éste año con cariño de fans."
gema_737,17941772560242191,Eres la mejor jeje... Feliz año 😊😁💪
joman05,18017636299046113,Feliz año nuevo un gran abrazo 🎆🎊🎉
michelindaabigail,18016884844032337,Qué te la pases bien y que sea muy hermoso
alondrassy_,17990860078184690,Feliz... Feliz año nuevo que sea un gran año lleno de proyectos 😘😘😘😘😘😘 mareeee tilaa
veronicagonza16,18011313604076974,Feliz año nuevo Tila
velacamaraismael,18017207998035420,"TODOS SABEMOS QUE EN LA LLEGADA DEL AÑO NUEVO NOS PROPONEMOS MUCHAS COSAS HOY SE ACAVA EL AÑO 2018 Y COMO FRUTO DE TODO ESTOS 12 MESES LOGRASTE SACARLE UNA SONRRISA A MUCHA GENTE UNA DE ESAS PERSONAS SOY QUE CADA DIA VEO TUS HISTORIAS DE INSTAGRAN,FACEBOOK REVISO TUS VIDEOS Y AUN QUE LO AYA VISTO UN MILLON DE BESES CREEME QUE ENCUENTRO CADA PARTE QUE ME SAQUE UNA ENORME SONRRISA PARA SER SINCERO PARA MI HERES LAS MEJOR YOU TUBE FELIZ AÑO NUEVO Y SIGUE SINDO LA MEJOR COMEDIANTE DE YUCANTA 💜"
heitting.09,17917965430269854,Felicidades por tu logros tila te quiero. Mandane un saludo porfin en uno de tus videos si no es molestia
carmita_ecd,17943318688225951,Feliz año Tila!!! Pues que te puedo decir? No tienes idea de lo bien que nos haces con tus bromas ninea!!!! Solo te puedo decir muchas gracias!!!! Y Feliz Año Nuevo a ti al chinito a matitere y demas miembros de tu staff . Bendiciones 🍾🍾🥳🥳🥂🥂
yolibet.mendezlopez,18003560260128387,Feliz Año Nuevo que este año sea de muchas bendiciones para ti y tu familia te amo tila saludos y muchas bendiciones para ti 😉❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
