https://www.instagram.com/p/BWHIGLag6jS/,hashtags:,#LaBellaYLosBestias,#CorreLaVoz
username,comment_id,text
annaguevaramont,17889429346015724,Tercera vez que lo vi y sigue muy bueno😱😱😱😱
kenya_c.v,17877699325109357,Checa @felipe.her.rera en TusBoletos.com
kenya_c.v,17877521344097775,@felipe.her.rera vamossss
felipe.herrera.05,17877805876110822,@kenya_c.v es mañana 😰
caro_puga,17865193630156275,@os sd10 vamos!
solecito_poot,17863074733160651,Mira mi vidi @el_rayo_mejor 🌷🌹
viviana_joa,17878311682076509,Precio de los boletos porfavor :)
lulu_castilla,17862352618178131,Y la CD.MX. Para cuando?también queremos verla por aquí @tilasesto
mariterebraga,17874284998124086,@lulu_castilla 14 de julio con show en el voila
landycm,17873548807082888,Yeiiiiiiiiiiii Cancún!!!!!! Súper !!!!! @tilasesto @elchinofernandez
milanrg18,17846677774195194,La gira por Progreso? ...Así  en q teatro ? ;-;
lilianaabaeza,17862092860182784,@lalo_goma miraaa 18 vamos
ac_maca,17875275925129187,Juroo que por fiiiin se me hará Veracruz 😍😍😍 enserio hasta q se me va hacer! 🙈🙈🙈🙈💕💕💕💕
cesar_ulloa10,17860735681192261,Te lo pido
cesar_ulloa10,17861802556161727,@tilasesto te mande privado checalo es algo inportante
lau.davila,17861452780185091,Cuando vienes a Puebla @tilasesto?!?!?
cesar_ulloa10,17888527810008426,@lau.davila mira en yutube el canal #quepasabrother somos yucatecos te guatara
