https://www.instagram.com/p/DArM3GxoBTH/,hashtags:,"#Canal5🎬📺""",#PeliculasDeTerror,#Comedia,#Humor,#StandUp,#Televisa
username,comment_id,text
zeamacartyr,18037889222030878,"Ame este sketch, reí muchísimo, felicidades por su trabajo y gran talento 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼✅"
roberto_elizalde_mexicocity,17999251052647541,Jajaja la parte del hada!!!🧚🏻✨🌟
juanex_sl,18042271232012109,Pero tila por qué no pones los videos en YouTube para los que vivimos en USA 🇺🇸 que no podemos ir al teatro de donde des el chow yo creo que lo deberías hacer nena
melendez.11298,18029602628151708,"Tiene su canal en YouTube y está acceso en los Estados Unidos, y lo estoy siguiéndola y vivo en los Estados Unidos"
kaaryalexmaslow,17863103790182316,Si no era la Caperucita roja eran las de mi abuelo El Santo😂😂😂😂😂
alexitokintal,17886106341101181,Espero que te paguen por la publicidad 😂😂😂😂
esthepanyarciga,18058750534702472,😂😂😂😂😂
barbacoaczm,18041473052028499,No eres nada graciosa o gracioso no eres comediante
laurana.zu,18043392017047156,"Chucky a los 8 años, pfff yo la vi a los 3 con mi mamá, y la del duende maldito, nunca volví a ver el duende maldito, quede traumada, pero me encanta el cine de terror jajajaja"
laurana.zu,18037846355137434,Jajajaja cuando mi hermana empezó a dejar a mi sobrina ver caricaturas en tele abierta y salió un anuncio le dijo a mi hermana que dónde estaba el botón para quitar el anuncio
kat01w,17876136681097745,"Es cagado, ahora tenemos acceso a demasiado demasiado contenido dudoso lo cual es muy earo"
maribelceballossosa,18035780084325095,😂😂😂
yenifer29.dom,18044277647076780,La serie Le temo a la Oscuridad 😢esa si no la podía ver
_.c.h.o.k.o._,18370055533103814,Jajajaja me dieron ganas de ver Caperucita
soysanwellness,18027857978116611,😂😂😂😂😂😂😂😂
carlitaproal,17982142532741972,😂😂😂😂😂😂😂😂
carlitaproal,18082561273517917,Estoy atacada de risa @pattyfierrog @pattyproalf
argaezhuchim,17869379556200792,Jajaja si wey
amelia10946,18356502208187964,😂😂
diablocervantes,18039370642906589,😂😂😂😂❤️
alexanderrafale890,18042491663017099,😂😂😂😂😂
gaboeira,17945588678762669,La pu71$4 que le dieron a Videl 😮😮😮
mariaespinosa4784,18203558770294452,"Me desbloqueaste muchos recuerdos,  gracias."
douglasrijo,17879706165147589,🤣🤣🤣🤣🤣
uisp17,18420794983075462,🙌🏻👏🏻👏🏻👏🏻👏🏻
angela_djn,18086250805504815,Jajaja cuanta verdad 😂😂😂
francelysddiloreto,18037572581275985,Mi mama ama las películas de tiburón 😂😂😂
franmmaldonado,18042442730502179,"Y falto las de santo contra la momias, lobos, vampiros,,gatos o lo que se atraviese y que talla película del Vampiro con Abel zalazar una joya❤️"
_brokenboy_0418,18012124169630669,"Jajajaja, me agrada q yo en mi generación jejeje, la verdad me gustó esa generación"
pablito085,18373157713129324,"Fue la que le toco vivir. Lo malo sería que nisiquiera lo que le tocó,  le gustó"
limny_hidalgo19,17884101333054662,😂😂😂😂😂😂😂😂
danielbaronamx,17894597235081041,Ese goku 😂🔥🔥🔥 👏👏👏
carlosschmeda,18467371975012460,Meu Deus 😂😂😂😂 asi es
lucila_nutricion,18271172350216293,😂😂😂😂😂😂
lalobadlaluna369,17848363083312285,"Y en el canal 2 o en el canal 9, por la noche jajajajaja solo pasaban la película ""Hasta el viento tiene miedo""😂😂😂😂😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂😂😂😂😂"
lalobadlaluna369,18140363203349386,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
rodayarod,18025135583387631,😂😂😂
