https://www.instagram.com/p/DHt9edSJvUF/,hashtags:,#blancanieves,#tilamariasesto,#liveaction
username,comment_id,text
camachorodrigotorres,17847613080415411,Naca Nieves ❤️😍
fernando_ttrujillo,18036707801258134,"Y como se llama esa sultana, po que no la ví"
baeza_alin,18357837247180007,😂😂😂
abbyitch,18360450298178172,No inventes tila!!! Amo a quien te edita todo eso!!!! Todo un proooooo
mocha_bully,17952654806934330,Tengo que verlo
yara_ixchel,17928832029040170,"Hola, alguien sabrá dónde compro el vestido negro, estoy buscando algo así para mí graduación se ve increíble"
arturygp65,17849450277396786,@yara_ixchel busca santa florensio tradicional negro o vestido negro vordeado de flores tradicional es que son varios y el de ella creo que es alterado osea de que fue modificado a gusto por la produccion de vestuario asi que debes saber coser o ir a una tienda si quieres que lo dejen igual
solsitorojas.741,18322722946162267,Quiero ver tu propuesta
assessor.matematicas,18055534687911173,Eran princesas hasta que . . .
nessacontreras17,17890758897213543,Pero la reina malvada siguen siendo más bella q la blanca nieves
rafaelvillarreal87,18303961462209894,Esta si es de calidad esta si la veo
babaganushhh92,17961720794913592,Me cae que si vería la pelicula
miiri_c1994,17878952634181722,@alexander_93_paredes
rumbo_art,18055933661115832,Ta mas gonita que la raquelucha!
lucilakarinacoronagarcia,18069962224723929,
dionisio_abreu6920,17869412376341524,Porfavor tila has un sketch de este tema de blancanieves jajaja porfavor
majoarrhdz,17944775573976370,Sigue estando más bonita la reina 🤣
helenakaliope,18080963722657247,😂😂😂
m1mi1502,18072284350862271,Mucho éxito 🙌
pilyrguez,17893342143090717,😂😂😂😂
auroraag19,18023587784465169,Esta película si la veo 😮
alexviveros.vivir_con_madre,18037912793558535,Pero aquí es Blanca nieves embarazada de los enanos
ferislas_mistika,18086700244609997,😂😂😂😂😂
phanton_richard_09,18005607035725922,Son las regrabaciones ?? 😢
fabiansosagarcia,18073387210836182,Maaaaaaa
