https://www.instagram.com/p/C_BJhn6SSrM/,hashtags:,#LoMejorDeYucatan,#LoMejorDeYucatan,#GraciasYucatan,#TilaMariaSesto,#OrgulloYucateco
username,comment_id,text
lizbethmargaritapinto,17925062705946198,"Hola mi reconocimiento y respeto para ti y tu genial interpretación , te sigo por Youtube nunca e tenido oportunidad de verte en persona, eres increíblemente genial.te saludo desde tizimín Yucatán un Abrazo grande lleno de bendiciones."
guemeznorma,18038778614018860,Muchas felicidades 🥳㊗️ Telo mereces 😍...eres sensacional 👏
jafet_kanxoc30,18361883884107476,Bien merecido
carmenveracrisan,17920084193859057,Felicidades
kebilu_msv,18058905508663797,✌🏽😎
vandemon23,18000032489652516,Es elon musk? Que hace en yucatan? 😂😂😂😂
elennavelazquez,18198307006290553,Ya los años hay llegado 🥴🥴
nicolinaviles,17874221001139984,Te lo mereces 👏👏👏muchos éxitos más  Dios te bendiga 🙏 saludos desde veracruz un abrazo fuerte
assessor.matematicas,18020602043178661,Muchas felicidades!!!!!!
lorenahernandez1212,18020098532188057,👏🎉muchos más éxitos
sarasanchez8817,18029941049348724,👏❤️🙌🙌👏👏
alternofreak,18039398251877818,Muchísimas felicidades y bendiciones 🎉👏👏❤️❤️❤️
miliespadas,18454192135032151,Felicidades!! 🫶🏻✨
yakicass2729,18058872490599466,🙌❤️👏👏👏 felicidades @ozdan_
fernandotecanche,18452988061037605,"Muchas felicidades y continua haciendo lo q te apasiona,👏"
eskobar.lalo,18005830613410251,VEN A CHIAPAS
gabrielatrujillo599,17935323842874419,👏
wuerita.lopez.731,18018294236226647,Un abrazo fuerte bendiciones desde tabasco me encanta tu personaje
andres_sound_pro,17920075925862665,Muchas felicidades mi mestiza hermosa 😍
pabloria_1111,18072930298558853,Bravo 👏🏻 ❣️
teofloresh,18039802112004809,😍 amigo te mereces tantas cosas chingonas porque es lo que eres!
delfino.delapalma,18083984335496961,Chingon!!!! Saludos desde California
delfina.canul.75,18367829179101314,👏
aarandacruz,17878051464109754,Si lo eres lo máximo Love
edithmc78,17880004716055561,Muchas felicidades te lo mereces eres un gran comediante.
tatis_1406,18340238071198186,Felicidades Ozdan y por supuesto a Tila Maria Sesto!
marytemartinez,18005442119414588,Bien merecido 👏👏👏👏 muchas felicidades 🎉🎉
berthapacheco2778,18052868095665654,"Muchas felicidades, eres una persona excepcional, sigue con toda esa actitud que distingue ❤️"
lastorres6000,18020028848589744,Felicidades te mando un fuerte abrazo desde Guadalajara
aldoivanpiolin,18003233801460248,Felicidades pelana desde Puebla mi admiración
la_jack_67,18063340471621028,Bechoabacho harto cariñoso desde tierras chilangas 💜🩷💜
manuel_alejandro_pech17,18220411945304554,A chinga no sabia que la tila maría era el mismísimo Elon Musk 🤣🤣🤣🤣
susy_rdzo,17869283526175798,A huevoooooo
hekthor791111,18030189929268929,Muchas felicidades te lo mereces 😍
lionelinshow,17930506418918186,Eres perro para tu jale... Muchas felicidades... Que vengan más éxitos..👏
pedro.polanco.chi,18356145070112063,Sigue rompiéndola! Super merecido el premio!
chio.cr.rdgz,17942282348851738,Bravísimo!!!!! 👏👏👏🎉
beatrizyjose2006,18070138021564605,"Muchas felicidades 👏🙌 te lo mereces bendiciones a tu vida, espero algún día conocerte 😘 saludos desde Tabasco"
fkitamosha,18003994871453139,"Muchas felicidades Oscar, solo estás cosechando parte de lo que sembraste con tanto esfuerzo y dedicación porque detrás de cada presentación de cada sonrisa que nos brindas hay un cúmulo de trabajo, dejas muchas cosas para darle vida a ese personaje que tanto nos hace reír y olvidar nuestros malos momentos , gracias por todo lo que nos das tu esfuerzo está rindiendo frutos. Enhorabuena y que sigan los éxitos."
betaniaconductora,17971168463760391,Muchas felicidades 🙌🎉
clauschan21,18003061367462472,Por fin conocí a la Tía Tila sin Makeup !! 😮 Muchas Felicidades !! 🎉🎉🎉
mireyacontreras41,17894897033984295,👏👏👏
maestro_zazzin,17866466895189117,Muchas felicidades 🎉 bien merecido
doriangreyinfinito,18278340508235012,❤️😍❤️😍😍❤️😍❤️😍❤️😍😍❤️❤️ muchas felicidades ㊗️. Hermoso 😍. Espero poder verte de nuevo en Cancún. Y disfrutar de tu comedia 🤠 siempre
