hashtags:,#BadBunny,#humor,#comedia,#fblifestyle
post_url,username,comment_id,comment_text
laura.cruz.3914,18058843268635178,https://www.instagram.com/p/DS03d7MDBfU/,Pues para odiar a Bad Bunny se sabe muy bien las canciones 😂😂😂
tilasesto,18151151998436856,https://www.instagram.com/p/DS03d7MDBfU/,@laura.cruz.3914 es que pa entender que vrgas decía tuve que leerlas!
seragoc,18083125343137506,https://www.instagram.com/p/DS03d7MDBfU/,@tilasesto 🤣🤣🤣🤣 antes no te dio a ti la conmoción cerebral por leer esas pendejadas
canto_karla,18108365023642730,https://www.instagram.com/p/DS03d7MDBfU/,@laura.cruz.3914 lo mio pienso🤭
liz_fer_ft,17915862522101001,https://www.instagram.com/p/DS03d7MDBfU/,😂😂😂😂
mayerling361,18107463271580582,https://www.instagram.com/p/DS03d7MDBfU/,Eso lo pueden hacer aquellos que sufren de apnea del sueño
not.dafnep,18092374030755743,https://www.instagram.com/p/DS03d7MDBfU/,A mí se me hace que le gusta bad bunny que hasta todas las canciones se sabe 🥰
cristel_50,18088480357828784,https://www.instagram.com/p/DS03d7MDBfU/,😂😂😂😂😂😂😂
cristel_50,18086463518101260,https://www.instagram.com/p/DS03d7MDBfU/,@cristel_50  bien que conoce sus rolas 😂😂
tilasesto,17858841177576913,https://www.instagram.com/p/DS03d7MDBfU/,"@cristel_50 ni modo que tape mis oídos cada ves que lo ponen, viviría sorda!"
addycarballocanche,18081959992917665,https://www.instagram.com/p/DS03d7MDBfU/,😂😂😂
seragoc,18077024981200555,https://www.instagram.com/p/DS03d7MDBfU/,😂😂😂😂😂😂😂😂
vlanza74,17941335183099630,https://www.instagram.com/p/DS03d7MDBfU/,😂😂😂😂😂
l30m_25,18351733027207741,https://www.instagram.com/p/DS03d7MDBfU/,😂😂😂😂
pabloaguiluz,18097583572890354,https://www.instagram.com/p/DS03d7MDBfU/,👏👏👏👏👏👏
paloma.espinor,17908959864298008,https://www.instagram.com/p/DS03d7MDBfU/,😂😂😂😂
nahimgamero,18162287431400679,https://www.instagram.com/p/DS03d7MDBfU/,Jajajaja que delicia ver a los fans de ese we defenderlo de un comediante 😂😂😂😂😂
tilasesto,17880973770441005,https://www.instagram.com/p/DS03d7MDBfU/,@nahimgamero el chiste de cuenta solo!
rusellpereira,18026501282788774,https://www.instagram.com/p/DS03d7MDBfU/,@nahimgamero realmente consideras a este sujeto un comediante ?
kcastro957,18072269189372947,https://www.instagram.com/p/DS03d7MDBfU/,👏👏👏👏
judith.juarez.3958914,18176457133369609,https://www.instagram.com/p/DS03d7MDBfU/,😂😂😂
fer.carcamo777,17940038723979864,https://www.instagram.com/p/DS03d7MDBfU/,Cagado es que canta 20 veces mejor que el propio autor jaja
mariterebraga,18086758057846999,https://www.instagram.com/p/DS03d7MDBfU/,Pero bien que fuiste a perrear a su concierto
tilasesto,18101994217756015,https://www.instagram.com/p/DS03d7MDBfU/,@mariterebraga no veo las pruebas en ningún lado!
ruiz_c._eve,18103173457826544,https://www.instagram.com/p/DS03d7MDBfU/,Toda la boca llena d razón 😂
diego2603d,18354693439165872,https://www.instagram.com/p/DS03d7MDBfU/,Jajajajaa aaaa pero aya estabas en el concierto pprrroooo 😂😂
tilasesto,17955454227046297,https://www.instagram.com/p/DS03d7MDBfU/,@diego2603d inventos tuyo!
dileydi_aragones,18397574785134077,https://www.instagram.com/p/DS03d7MDBfU/,Menos mal que taba sentada en el 🚽 cuando vi esto! 😂😂😂😂
