https://www.instagram.com/p/ChQllG1jzZW/,hashtags:,#analisis,#chackupbasicosaludable,#salud
username,comment_id,text
gennybgangulo,18291063244073184,❤️🙌
isaacperezcoach,18009388006448076,Yo me hago mis estudios y me van a detectar toda la intoxicacion de la sangre Xd
villita80,17947247063159617,Son los mejores @laboratorioschontalpa 👍👍👍
kermit_bacelis,17974894378642900,¿Que te hicieron?
kermit_bacelis,17933453867246570,@kermit_bacelis prueba de antígeno o Papanicolaou?
samymillet,17956712101848938,Médico: @mariterebraga 😂😂
mariterebraga,17967840787774699,@samymillet jajajaajajajaja
beatrizyjose2006,18142235593263657,"Es correcto, Tila es bueno hacer estudios para que uno esté bien de salud 😔 bendiciones espero todo esté bien saludos desde Tabasco"
paulina_nava15,17921255633529935,👏🏻👏🏻 muy bien Tila!! Por algo se empieza este el paso más difícil! Y muchas veces las personas se dan cuenta de enfermedades evitables cuando ya es demasiado tarde!
bc_josh,17970025573737107,La muestra decía TLila 😹😹😹
erik.romeroc,18019200475418790,@bc_josh se refiere a Tubo Lila
bc_josh,18299976373065950,@erikromeroc 😮😮😮
hrhjohn,17988666184546640,Y según los resultados resulta que tienes mil años 😹😹
tilasesto,17932233029513368,@hrhjohn son los examenes donde mas alta he salido 🤣
