hashtags:,#Quemocion
post_url,username,comment_id,comment_text
hermidasandra,17855529319183176,https://www.instagram.com/p/BT2cf9cjp29/,Felicidadeeeeeeeeees!!! Muchos éxitos mas 👏👏👏👏👏
janetita_gc,17879748586019654,https://www.instagram.com/p/BT2cf9cjp29/,Que orgullo 😊👍🏻
alebarj,17868546271097569,https://www.instagram.com/p/BT2cf9cjp29/,En donde te presentas?
yosoyunaguayaba,17880583321032134,https://www.instagram.com/p/BT2cf9cjp29/,Vente a Pachuca Tila!!! 😍
majorosadomx,17880317011018399,https://www.instagram.com/p/BT2cf9cjp29/,Wowwwwwww !!! Yo en primera fila !!!
maxigumy,17866199260094341,https://www.instagram.com/p/BT2cf9cjp29/,@tilasesto en donde te presentaras para ir a verte??
leo_rivero38,17868534463099585,https://www.instagram.com/p/BT2cf9cjp29/,No le van a entender a los chistes 😂😂😂😂 felicidades @tilasesto  ve por más ciudades 👌🏻 a poner el nombre de Mérida en alto
yanelchucs,17879980888014248,https://www.instagram.com/p/BT2cf9cjp29/,@al_cmtz  para que no extrañes tanto yucatan!
tilasesto,17868838681102055,https://www.instagram.com/p/BT2cf9cjp29/,@skyban si ya estan http://www.ticketmaster.com.mx/tila-maria-sesto-mexico-distrito-federal-24-05-2017/event/140052A6F0EC4346?artistid=2370747&majorcatid=10002&minorcatid=32
jadejade1136,17855531896177392,https://www.instagram.com/p/BT2cf9cjp29/,EXITOOOOO Y ESPERO @mariajoserosado_  VAYA A TU SHOW ✌😉
joel__basulto,17856292657154031,https://www.instagram.com/p/BT2cf9cjp29/,@rebechale dile a tu amiga que nos ayudó en el df
platasfer,17858256562132710,https://www.instagram.com/p/BT2cf9cjp29/,Saludos
skyban,17879960713052859,https://www.instagram.com/p/BT2cf9cjp29/,En Ticketmaster aún no están disponibles.
mauricio_anca,17855441101176665,https://www.instagram.com/p/BT2cf9cjp29/,Primero en comentar otra vez
