https://www.instagram.com/p/BUf0XDvjbKr/,hashtags:,#TilaEnCDMX,#SiEstornudoMeCago
username,comment_id,text
karlaivethsz,17881684198041047,Regresa 😔
losfuemtes,17856974827167082,"Cuando es tu próxima presentación aquí en Mérida, publicala por favor."
chiviuxa74,17857692850152183,Genial Tila! Los Chilangos te queremos de regreso!!! Y trae al Chino Fernandez también jajajajaja son muy buenos. Abrazos😁
jazinta_meza,17856970543179471,Estuvo genial !!! Lloré de risa mil veces !!! Gracias por esos momentos #tilamariasesto
lethiimalpica,17856581584173039,Te amo @tilasesto 😍🌼
lulu_castilla,17881342504046630,"Mucha risa, me la pasé muy divertida ,siempre que puedo voy a tus obras en merida pero hoy pude disfrutar una divertidisima noche en CDMX fué de locura, el show estuvo de lo mejor que bueno que decidiste cruzar el charco del golfo de mexico y venir hasta acá jaja saludos"
matildezahoul,17858304427149558,"Estuvo excelente, regresa pronto"
twiggyrea,17870002357129366,Estuvo genial gracias!!!
ayatzy,17880276103005044,Éxito en la tierra que me vio nacer @tilasesto me da mucho gusto que andes por allá ojalá te internacionalices y te pueda ver acá en usa 🇺🇸 para que vengas y digas con todas tus fuerzas #chingatumadredonaldtrump jajajaja saludos
maxigumy,17857000309165447,"Aparte de excelente showww, excelente persona con su público, se merece el 10 por el profecionalismo y la sencilles , con los espectadores.... muy recomendable de verdad!!"
maxigumy,17880594493056198,Excelente showww hijoeputaaaaaaaa!
alex_2020mid,17856203119187689,Eres la mejor que show tila
earc13,17869868074111631,Simplemente ESPECTACULAR 😘
agolib,17882336767054143,¡¡A toda madre!! Nos wishamos de la risa @tilasesto @elmango1
elmango1,17875114843067975,Cómo estuvo forro @agolib  @tilasesto
deliacahe,17869574140096765,No soy yuca pero vivo en Mérida y debo reconocer q eres de los mejores talentos que tiene Yucatán... te mereces esto y más!! Felicidades
diannasl,17881425136046148,Mucho éxito @tilasesto
rushito8169,17875418665068655,"Adelante Tila, exito."
tjalcudia,17870080549105953,"Éxitos Tila, q loa chilangos reconoszcan tu gran talento!!!"
crishernandezmx,17868934180127891,Rompela chingon 🔥❣
rani_swimmer,17867370631090029,Seeeee!!! Los chilangos que no vayan neta se lo pierden!
jadejade1136,17881149997028881,EXITOOOO RIMPERE UNA PIERNAAAAA 💐💐💐LAS MEJORES VIBRAS DESDE MERIDAAA
aleberecaballero,17881979809010770,"Exito tila, eres grande nadie como tu, saludos desde cancun."
mayra_castillo8888,17881254649002845,Felicidades!!!!! Tienes que abrir más fechas por favor
marizaojeda,17881514755037092,Mucho éxito Tila
