https://www.instagram.com/p/DRXjix5kY6b/,hashtags:,#feriaxmatkuil2025,#yucatan,#costco
username,comment_id,text
aloal777,18108470764717521,No es por tu video y estan a la vista de medio Yucatan..
yumann5,18047732015697496,"@aloal777 Claro, claro. 😂😂"
ginn_amaya,17987013044863319,No es tu culpa jiji o si? JAJAJJA
patty_ar11,17970074702977836,😢💔😒
irais.soy,17873895885449872,Vas caminando en el fraccionamiento de Los Héroes?
pantera_fpv,18412146862143180,😮😮😮😮
nadiamune,18076826588228993,No tendría porque afectar a costco 😢😢 es diferente nombre solo haciendo referencia de ellos
berearaiza18,18551257795052471,@nadiamune se le llama REPUTACIÓN
juanpablomendezortiz,17902441683335235,"Digo te clavas el nombre, te clavas sus productos , te clavas sus colores bueno si...."
agmdhehe,18094706749857114,Antes de eso Merida no se podía mover o que pedo?😂😂
el_santy_kosako,18063239123623720,Uy si todo Mérida habla de eso eh
edificiosmayas,17918019321215576,@el_santy_kosako jajajajajajaj
joesantanab,17929459284134392,🐸
edificiosmayas,18099350104739506,@joesantanab a esos se les corta la 👅
shamir_atam,18076463972265225,Ayudaste a que un emprendimiento fracasara 👏
erickvaldez44,18103271038641097,😮
aquamanpcl,18064997081152930,hay varios en merida abiertos
lord_undertaker10,18107680165618692,Notición que ni conocía y mucho menos me importaba
car.hb,17999849159847678,"Ellos la cagaron, no se prepararon legalmente y lo que tuvieron fue un sueño."
salme.nunez,17940107171965327,"Si si creo fue, porque el día que fuiste a grabar, que me imagino un día antes fuiste al día que se subio porque en el impi sale que lo registraron el 10 noviembre a las 6.30pm ajjajaajajajajajajajajaj whitexicans en apuros... mintiendo para quedar bien. Diciendo justaaamente ya tenemos un tramite de registro de marca  y eso fue de lo primero, antes de empezar con el proyecto 🤣🤣🤣😂😂😂😂 si fue por el video y la exposición como comentas"
arturogerpelfini,18060331856635995,Le hubieran puesto Quiosko
boniangulo,18021827030604262,Sí tuvo que ver tu video y tu pregunta tendenciosa y mala leche. Eso no se hace.
thanos69666,18083878874071044,
thanos69666,18073831925586518,Por ahi escuche que fuiste tu quien fue a denunciarlos eso no se hace
cristtipimentel,17868274446510192,Pobress
hvdaniel622,18090936868900512,@cris.hrndz_
hvdaniel622,18095659378872383,@danielabarraganr
