hashtags:,#maya,#mexicolors,#mexico,#yucatanmegusta,#redescubreyucatan,#YucatanVenPorTodo,#trip,#turismo,#arqueologia,#igersmexico,#viajeros,#Proyectomexico,#vive_mexico,#mexicodesconocido,#phantogramex,#ig_mexico,#loves_mexico
post_url,username,comment_id,comment_text
sjpro.dome,17909654890016030,https://www.instagram.com/p/Bb8OHUGjYz9/,C co coo cool :)
camberosmaggi,17911089664054850,https://www.instagram.com/p/Bb8OHUGjYz9/,En un año no acabaríamos de conocer tantas bellezas que dejaron los mayas
_piesviajeros,17897165629128564,https://www.instagram.com/p/Bb8OHUGjYz9/,Oh
edificiosmayas,17910664105046007,https://www.instagram.com/p/Bb8OHUGjYz9/,Xlapak bro 👌
gogonzaexpeditions,17883097186154917,https://www.instagram.com/p/Bb8OHUGjYz9/,Me encantan tus fotos bro realzas la Belleza del legado maya 👏
edificiosmayas,17910846445043501,https://www.instagram.com/p/Bb8OHUGjYz9/,@gogonzagar gracias amigo!
_ilsedeleon,17893028275095122,https://www.instagram.com/p/Bb8OHUGjYz9/,Dónde es??
edificiosmayas,17904590059066299,https://www.instagram.com/p/Bb8OHUGjYz9/,@_ilsedeleon Xlapak en la ruta puuc! 👌
acn_brand,17895798862126340,https://www.instagram.com/p/Bb8OHUGjYz9/,Se ve incre para un photoshoot! Buena pic 🤛
edificiosmayas,17901573598079160,https://www.instagram.com/p/Bb8OHUGjYz9/,@natalia_aranda muchas gracias 👊
edwintgda,17883869611149884,https://www.instagram.com/p/Bb8OHUGjYz9/,Es Ek Balam? Sin duda tengo que visitarlo 🙌🏼
edificiosmayas,17883403222180723,https://www.instagram.com/p/Bb8OHUGjYz9/,"@edwintgda es Xlapak, tuve un p2 con el Instagram no se que le paso no salió la Inf que subí :)"
jonathanbuenfil,17895464833123120,https://www.instagram.com/p/Bb8OHUGjYz9/,¡Ponle ubicación para que me lance para ahí! Está buenísima la foto bro👏🏼😍
edificiosmayas,17910748072034525,https://www.instagram.com/p/Bb8OHUGjYz9/,@jonathanbuenfil Esta fallando este p2
viajerolibre,17899166212110734,https://www.instagram.com/p/Bb8OHUGjYz9/,¡Espectacular! Me encanta como se ve el cielo
edificiosmayas,17880447661171452,https://www.instagram.com/p/Bb8OHUGjYz9/,@viajerolibremx Gracias :)
gustavomoguel,17892963442080512,https://www.instagram.com/p/Bb8OHUGjYz9/,Ay papaaaaa!! Donde es bro?
mikediazphoto,17893077130083744,https://www.instagram.com/p/Bb8OHUGjYz9/,Buena foto! Es Uxmal?
